student_id,race_ethn,gender,days_present,days_absent,home_address
026d0a13dce5,white,female,177,1,3959 W ROOSEVELT RD CHICAGO IL 60624
027ecaa91ea9,white,female,177,1,5737 W BELMONT AVE CHICAGO IL 60634
0285886bdb21,white,male,176,2,5304 N CLARK ST CHICAGO IL 60640
028d3cce2e5c,white,male,177,1,CHICAGO IL 60634
028e97f38cb9,white,female,174,4,CHICAGO IL 60632
029ec8a0d960,white,female,176,2,6411 S PULASKI RD CHICAGO IL 60629
02a2c3c86df4,white,male,176,2,CHICAGO IL 60634
02bd0c08a92b,white,female,176,2,7059 S HALSTED ST CHICAGO IL 60621
02c4bd927afb,white,male,177,1,3657 W 26TH ST CHICAGO IL 60623
02cc12d0fb89,white,female,177,1,4959 S Blackstone (1500E) CHICAGO IL 60615
02cce09c39f4,white,male,176,2,400 S CLARK ST CHICAGO IL 60605
02d0a01083c7,hispanic,female,175,3,3263 N PULASKI RD CHICAGO IL 60641-4729
02d4247761cb,black,female,176,2,4300-4312 S WENTWORTH AVE IL 60609
02dc8d3a87b5,asian,male,176,2,5230 W MADISON ST CHICAGO IL 60644
02de53b71313,white,male,176,2,3250 W Adams  (200S) CHICAGO IL 60624
02eaa7d8744b,white,male,177,1,11449 S HALSTED ST CHICAGO IL 60628
02f0bffdde23,white,male,178,0,1248 W 69TH ST CHICAGO IL 60636
02fcae96f480,hispanic,female,177,1,4501 N WINCHESTER AVE CHICAGO IL 60640
0302450e380d,hispanic,female,177,1,1120 W LOYOLA AVE CHICAGO IL 60626
030451c95d18,white,male,176,2,2336 S WENTWORTH AVE CHICAGO IL 60616
0319ccb51951,black,female,174,4,904 W ARMITAGE AVE CHICAGO IL 60614
031b894b6cf0,white,male,176,2,171 W RANDOLPH ST CHICAGO IL 60601
031e062d7375,black,male,177,1,1820 W WILSON AVE CHICAGO 60640
031e38323fa0,white,female,177,1,5501 W IRVING PARK RD CHICAGO IL 60641
031fc24dbb26,black,female,174,4,2018 W CHICAGO AVE CHICAGO IL 60622
0320c5d364a8,white,male,177,1,2181 N CLYBOURN AVE CHICAGO IL 60614
032548b703ce,white,male,176,2,3800-3804 N CLARK ST CHICAGO IL 60613
032856fca8b9,black,male,176,2,120 S RIVERSIDE PLZ CHICAGO IL 60606
033ce5b69cea,white,female,177,1,740 E 47TH ST CHICAGO IL 60653
03400425b1fa,white,female,177,1,4733 N KEDZIE AVE CHICAGO IL 60625
0344deb13058,white,male,177,1,736 W FULLERTON AVE CHICAGO IL 60614
035cd6fa6c8e,white,female,173,5,200 W GRAND AVE CHICAGO IL 60654
036574621b58,white,male,177,1,3640 N CENTRAL AVE CCHICAGO IL 60634
03677d30d902,hispanic,male,176,2,3268 W FULLERTON AVE CHICAGO IL 60647
036ff7313994,hispanic,male,177,1,4072 N MILWAUKEE AVE CHICAGO IL 60641
037e2b24c29e,white,female,174,4,8102-8104 S Halsted ST FL 1st CHICAGO IL 60620
0389b2fc8011,white,male,176,2,2405-2407 S WENTWORTH AVE CHICAGO IL 60616
039035874015,black,female,176,2,2542-2548 N SOUTHPORT AVE CHICAGO IL 6o614
03967e337798,white,female,177,1,4126 W MONTROSE AVE CHICAGO IL 60641
0399fa5bb970,black,male,177,1,6555 N CLARK ST CHICAGO IL 60626
039f945e88e7,hispanic,male,175,3,CHICAGO IL 60643
03a86da53c0d,white,female,175,3,6940 S ASHLAND AVE CHICAGO IL 60636
03ae4538062c,black,male,176,2,210 W 23RD ST CHICAGO IL 60616
03b4b006967e,white,female,175,3,4709 N DAMEN AVE IL 60625
03ba529371b7,black,female,176,2,10426 S MICHIGAN AVE CHICAGO IL 60628
03bc3663cbb0,white,female,177,1,847 W RANDOLPH ST CHICAGO IL 60607
03c393e6bd3d,hispanic,female,176,2,5030-5050 S KEDZIE AVE CHICAGO IL 60632
03c396c51e59,white,male,176,2,1213 W 18TH ST CHICAGO 60608
03c8632722f4,white,female,177,1,6158 N NORTHWEST HWY CHICAGO IL 60631
03c884596206,white,male,174,4,1050 N STATE ST CHICAGO IL 60610
03ca47a2bc8e,white,male,176,2,195 E DELAWARE PL CHICAGO IL 60611
03d27fbf177c,white,female,175,3,101 E 47TH ST IL 60653
03d504614bcb,white,female,176,2,347 N LA SALLE ST CHICAGO IL 60654
03d915dd705a,black,female,175,3,5910 W MONTROSE AVE CHICAGO IL 60634
03f4ac933ef9,white,female,177,1,3314 W 55TH ST CHICAGO IL 60632
03f75e425725,white,male,177,1,3632-3638 W LAWRENCE AVE CHICAGO IL 60625
0414eadd34ac,white,male,176,2,1642 E 56TH ST CHICAGO IL 60637
041d3d2bdb01,white,male,177,1,1039 W LAWRENCE AVE CHICAGO IL 60640
0422254af545,asian,male,174,4,1234 N HALSTED ST CHICAGO IL 60642
042697b522d3,white,male,177,1,3636 N BROADWAY CHICAGO IL 60613
0428daf6e642,black,male,176,2,1659 W 69TH ST CHICAGO IL 60636
042a25731c56,white,female,177,1,2109 S STATE ST IL 60616
0434b6ebdc2c,white,male,177,1,646 N Lawndale (3700W) CHICAGO IL 60624
043b36a50f7b,black,male,176,2,1856 N RICHMOND ST CHICAGO IL 60647
0447dd0e4806,hispanic,male,173,5,2221 N LINCOLN AVE CHICAGO IL 60614
044eb01b6302,white,male,177,1,8 E MADISON ST IL 60602
0451b14924fe,white,female,177,1,59 W NORTH BLVD CHICAGO IL 60610
04580982e3f9,asian,male,176,2,5630 W BELMONT AVE CHICAGO IL 60634
0459f7761e4d,black,male,177,1,6858 S ABERDEEN ST CHICAGO IL 60621
045af90216f5,white,male,176,2,3751 N BROADWAY CHICAGO IL 60613
045b8af580ca,white,female,176,2,107 E 111TH ST CHICAGO IL 60628
045ef7f851e6,black,female,176,2,1313 W TOUHY AVE CHICAGO IL 60626
046203fea324,hispanic,male,176,2,2539 W DIVISION ST CHICAGO IL 60622
046f0d682733,white,female,176,2,5648 W ROOSEVELT CHICAGO IL 60644
047ac7d2ea0b,asian,male,177,1,2727 W HOWARD ST CHICAGO IL 60645
047cc744dcdc,black,male,173,5,2534-38 E 83RD ST CHICAGO IL 60617
0484bb7e8672,black,female,176,2,3258 W MONTROSE AVE CHICAGO IL 60618
048789cd4855,white,female,177,1,1135 W 51ST ST CHICAGO IL 60609
04903dab2cc9,white,female,177,1,4720 S PULASKI RD CHICAGO IL 60632
0493e46f94e7,white,male,177,1,3685 S ARCHER AVE CHICAGO IL 60609
049882ad69d4,hispanic,male,174,4,1330 E 50th St (5000S) CHICAGO IL 60615
049ded984785,white,female,177,1,55 E GRAND AVE CHICAGO IL 60611
04aa7b977a54,white,male,177,1,5101 N CLARK ST IL 60640
04b1f705a5b8,asian,female,177,1,1104 W GRANVILLE AVE CHICAGO IL 60660
04c13fb8cced,hispanic,male,174,4,1314 W WRIGHTWOOD AVE CHICAGO IL 60614
04cbecc327ff,white,female,177,1,1238 S CANAL ST CHICAGO IL 60607
04d2c7f4c775,white,male,177,1,707 E 37TH ST CHICAGO IL 60653
04d3f4af2e02,white,female,176,2,6348 N MAPLEWOOD AVE CHICAGO IL 60659
04ddff0f400f,black,male,177,1,3972 W COLUMBUS AVE IL 60652
04e19f96b329,hispanic,male,174,4,555 E 51st St(5100S) CHICAGO IL 60615
04e6854a47c6,white,male,176,2,5714 W FULLERTON AVE CHICAGO IL 60639
04f6df11996e,white,female,175,3,201 E 75TH ST CHICAGO IL 60619
0500f0f25df9,hispanic,male,176,2,7601 S VINCENNES AVE CHICAGO IL 60620
05036640be41,white,male,176,2,645 N MCCLURG CT CHICAGO IL 60611
0503cc87785f,white,female,176,2,195 N DEARBORN ST FL CHICAGO IL 60601
0505bc9cb16b,black,male,176,2,2211 N OAK PARK AVE CHICAGO IL 60707
05133579abaf,black,male,174,4,42 E SUPERIOR ST CHICAGO IL 60611
05280e8c47f1,white,male,176,2,3119 W LAWRENCE AVE CHICAGO IL 60625
053988426d25,white,male,176,2,2122 W 79TH ST CHICAGO IL 60620
053c485c3b55,white,male,176,2,210 S CANAL ST CHICAGO IL 60606
05410c0b7215,white,female,176,2,6601 N RIDGE BLVD CHICAGO IL 60626
054700a44d75,hispanic,female,175,3,7447 S SOUTH SHORE DR CHICAGO IL 6o649
0548bb282d56,hispanic,female,174,4,3176 N BROADWAY CHICAGO IL 60657
0557588820e4,hispanic,female,175,3,624-626 S RACINE AVE CHICAGO IL 60607
055d34000225,white,male,176,2,6701-6703 N CLARK ST CHICAGO IL 60626
0563c1370de8,white,male,175,3,312 W BELDEN AVE CHICAGO IL 60614
0579ab10a4a6,white,female,177,1,909 W IRVING PARK RD CHICAGO IL 60613
057ba9341acd,white,male,177,1,324-326 S CICERO AVE CHICAGO IL 60644
058955146c75,black,female,175,3,3968 N ELSTON AVE CHICAGO IL 60618
0599a39bee07,hispanic,male,177,1,1050-1052 W ARGYLE ST CHICAGO IL 60640
0599ce010bd6,white,female,177,1,7419 S COTTAGE GROVE AVE CHICAGO IL 6o619
05b15b5c096c,hispanic,male,177,1,8313-8325 S COTTAGE GROVE AVE CHICAGO IL 60619
05bd47de93b4,hispanic,male,175,3,1241 W 58th St (5800S) CHICAGO IL 60636
05c3e2471c7b,black,female,175,3,6958 S WENTWORTH AVE CHICAGO IL 60621
05c90e29e9e5,white,female,177,1,1818 W MONTROSE AVE CHICAGO IL 60613
05e0a941630c,white,male,177,1,7532 W ADDISON ST CHICAGO IL 60634
05e61880c52b,white,female,177,1,748 W DIVERSEY PKWY CHICAGO IL 60614
05efe8565c1b,white,male,177,1,3250 W IRVING PARK RD IL 60618
05f378b19a6c,white,male,177,1,5556 W HARRISON ST CHICAGO IL 60644
0604a7513ac1,asian,male,177,1,45 N WESTERN AVE CHICAGO IL 60612
060b392a1667,hispanic,male,177,1,4718 S PULASKI RD CHICAGO IL 60632
0616f28083c9,white,male,177,1,5140 W MADISON ST CHICAGO IL 60644
0622b3f43df2,white,female,177,1,1422 W MORSE AVE CHICAGO IL 60626
062fa242b81d,white,male,177,1,3643 E 106TH ST CHICAGO IL 60617
06307be6dcfd,white,female,176,2,30 S WACKER DR CHICAGO IL 60606
063fac12b922,white,male,175,3,10 S DEARBORN ST FL CHICAGO IL 60603
065163c5afa4,white,male,176,2,6849 S WESTERN AVE CHICAGO IL 60636
0653a00decd8,white,female,176,2,1500 W TAYLOR ST CHICAGO IL 60607
0656b1479b13,white,male,177,1,5413 W BELMONT AVE CHICAGO IL 60641
065a09f506c6,black,female,177,1,8614 S KEDZIE AVE CHICAGO IL 60652
065c008c38c7,black,male,175,3,4214 W 26TH ST CHICAGO IL 60623
065f8b2e174b,black,female,176,2,1343 N CALIFORNIA AVE CHICAGO IL 60622
0660ca238bd5,hispanic,male,176,2,3570 N ELSTON AVE CHICAGO IL 60618
066dbafc2db3,white,female,177,1,4120 W 63RD ST CHICAGO IL 60629
067cae3566e7,white,female,177,1,825 S STATE ST CHICAGO IL 60605
067e5be40fe1,hispanic,male,176,2,2401 - 2403 N CLYBOURN AVE CHICAGO IL 60614
068545328495,white,female,177,1,1146 W PRATT BLVD CHICAGO IL 60626
068a40969053,asian,female,175,3,856 W FULTON MARKET CHICAGO IL 60607
068b2fa36fba,white,female,177,1,1023-1025 W WILSON AVE CHICAGO IL 60640
06911eb83fb0,white,male,175,3,1000 N FRANCISCO AVE CHICAGO IL 60622
069e7834a1d7,white,female,176,2,2832 E 87TH ST CHICAGO IL 6o617
06a0700d020b,white,male,175,3,3447 W MONTROSE AVE CHICAGO IL 60618
06a4b733c9f3,hispanic,female,176,2,5143 N CLARK ST CHICAGO IL 60640
06a58d9f1848,white,male,176,2,2014-2024 E 87TH ST CHICAGO IL 60617
06a6c3676d76,white,female,176,2,1050 N ASHLAND AVE CHICAGO IL 60622
06a7799333cb,white,male,176,2,658-660 N WELLS ST CHICAGO IL 60610
06a8f7b2e6ae,white,male,177,1,3107 N BROADWAY CHICAGO IL 60657
06ad4f1ccd5b,black,female,176,2,3139 S HALSTED ST CHICAGO IL 60608
06ad9ca43490,white,female,177,1,230 S WABASH AVE CHICAGO IL 60604
06b8deadcd0a,black,female,177,1,960 W BELMONT AVE CHICAGO IL 60657
06b914c56913,black,male,176,2,6016 W 63RD ST CHICAGO IL 60638
06b93b89971d,white,male,177,1,229 S JEFFERSON ST CHICAGO IL
06c1274da9bd,white,male,177,1,3575 W ARMITAGE AVE CHICAGO IL 60647
06ccf316ac08,white,male,178,0,4416 N Troy CHICAGO IL 60625
06cf37d4aecb,hispanic,female,175,3,2642 N LINCOLN AVE CHICAGO IL 6o614
06d210ce4137,white,male,176,2,1737 E 95TH ST CHICAGO IL 60617
06ee4396f731,white,male,177,1,604-606 W BARRY AVE CHICAGO IL 60657
06ee44344679,white,female,175,3,1323 E 57TH ST CHICAGO IL 60637
06f5d7f6ff40,asian,female,176,2,7411 S COTTAGE GROVE AVE CHICAGO IL 60619
06fb06b59471,white,female,174,4,148 W 79TH ST CHICAGO IL 60620
06ffaec30881,white,female,176,2,9501 S WESTERN AVE CHICAGO IL 60643
07022545493f,hispanic,male,176,2,1027 W WILSON AVE CHICAGO IL 60640
070308ced6b1,white,female,177,1,3651 E 106TH ST CHICAGO IL 60617
0704d4f7eb59,hispanic,male,177,1,2109 S WABASH AVE CHICAGO IL 60616
0709c04dad21,white,female,176,2,227 W CERMAK RD CHICAGO IL 60616
071aa45bd0c1,black,female,177,1,3109 W IRVING PARK RD CHICAGO IL 60618
071b2db4682b,black,female,175,3,310 S Clinton ST CHICAGO IL 60661
071f12ee1295,white,male,177,1,833 E 79TH ST CHICAGO IL 60619
07214aaf7959,white,female,177,1,2101 W CHICAGO AVE CHICAGO IL 60622
072433d91e65,white,female,175,3,1223-1227 W 18TH ST CHICAGO IL 60608
0729b41e095c,white,male,176,2,432 W ONTARIO ST CHICAGO IL 60654
073d9afa7933,white,female,177,1,545 E OAKWOOD BLVD IL 60653
073e96e76fd7,white,male,175,3,5450 S KEDZIE AVE IL 60632
07498ac7b887,hispanic,female,176,2,6059 S Wabash (45E) CHICAGO IL 60637
074c12b57c12,white,female,178,0,3309 E 106th street CHICAGO IL 60617
0756b36d2df1,white,male,175,3,6801 N SHERIDAN RD CHICAGO IL 60626
0759bbcd792a,white,male,175,3,901 S CICERO AVE CHICAGO IL 60644
075f536dee1d,white,female,175,3,7100 S ASHLAND AVE CHICAGO IL 60636
0764e9afea2f,white,female,176,2,5100 N WESTERN AVE CHICAGO IL 60625
076e4b052d5f,white,female,177,1,3600 W CHICAGO AVE CHICAGO IL 60651
077542a83165,white,male,177,1,4009 N ELSTON AVE CHICAGO IL 60618
077d1ffcaf1f,black,male,177,1,4129 191ST CT COUNTRY CLUB HILLS 60478
077f8bacec32,black,male,177,1,520 S MICHIGAN AVE CHICAGO IL 60605
078097cb0e8d,black,female,177,1,1119-1121 W WEBSTER AVE CHICAGO IL 60614
079705317405,white,female,177,1,1800 N LINCOLN AVE CHICAGO IL 60614
079dafa95857,white,female,175,3,7800 S INDIANA AVE CHICAGO IL 60619
07a2eaec70de,black,female,176,2,2200 N CLARK ST IL 60614
07ab9627e637,black,female,175,3,2311 W NORTH AVE CHICAGO IL 60647
07ac62915c5c,white,female,177,1,3126 E 91ST ST IL 60617
07b1585cff28,white,male,176,2,443 - 447 N CLARK ST CHICAGO IL 60654
07b1c645cc0b,black,female,174,4,9035 S LANGLEY CHICAGO IL 60619
07b340e5ba54,white,male,176,2,720 N Lorel AVE CHICAGO IL 60644
07b43ab9f396,white,female,176,2,6647 S WESTERN AVE CHICAGO 60636
07bced6b266a,hispanic,male,174,4,2708 W PETERSON AVE CHICAGO IL 60659
07c27689e81d,black,male,175,3,1742 W WILSON AVE CHICAGO IL 60640
07c2df481063,white,male,177,1,3251 S HALSTED ST CHICAGO IL 60608
07c9d076b1f7,white,male,175,3,850 W IRVING PARK RD CHICAGO IL 60613
07cbeb93c195,white,male,177,1,2300 N LINCOLN AVE CHICAGO IL 60614
07cc56adb7b7,asian,female,177,1,6314 S CICERO AVE CHICAGO IL 60638
07ced6471f47,white,female,176,2,4055 W Arthington  (900S) CHICAGO IL 60624
07d6a81451b4,white,female,176,2,20 E JACKSON BLVD CHICAGO IL 60604
07dbef2c68b2,white,female,176,2,39 W JACKSON BLVD CHICAGO IL 60604
07dfaf47dc0c,white,male,177,1,2235 S ALBANY AVE BLDG CHICAGO IL 60623
07f10542c8ae,hispanic,female,175,3,909 W MONTROSE AVE CHICAGO IL 60613-1410
07f3be26da95,white,male,177,1,8464 S COMMERCIAL AVE IL 60617
07f637d1d2e2,white,female,176,2,4821 W NORTH AVE CHICAGO IL 60639
08052bb1424c,white,male,176,2,4851-4857 N KEDZIE AVE CHICAGO IL 60625
08146c4bdffb,white,female,173,5,4780 N MILWAUKEE AVE CHICAGO IL 60630
0817316e503d,white,female,175,3,48 N WELLS ST CHICAGO IL 60606
081a2c267cf9,white,male,175,3,7047 S STATE ST CHICAGO IL 60637
081e9131ecd7,hispanic,female,176,2,200 N LAKEFRONT DR CHICAGO IL 60601
081ed3b3de8b,hispanic,male,177,1,11130 S HALSTED ST IL 60628
082402b6fa0c,white,female,173,5,8753 S COMMERCIAL AVE CHICAGO IL 60617
082462ebc881,black,female,177,1,951 W FULTON MARKET CHICAGO IL 60607
082cb1854634,hispanic,female,177,1,2678 W WASHINGTON ST IL 60612
082cdb10f3ce,hispanic,female,177,1,2055 W ROSCOE ST CHICAGO IL 60618
082e10703657,white,female,177,1,6213 N MILWAUKEE AVE CHICAGO IL 60646
08319060cb14,white,female,177,1,3001 S ARCHER AVE CHICAGO IL 60608
0834a1ed1622,white,male,176,2,5200 N CLARK ST IL 60640
083beee29428,hispanic,female,177,1,5020 S CORNELL CHICAGO IL 60615
083c7997c6fe,white,female,177,1,9012 S STONY ISLAND AVE CHICAGO IL 60617
083e7580e928,white,male,177,1,1014-1018 W TAYLOR ST CHICAGO IL 60607
0847f42c5e9a,white,male,177,1,2414 W 71ST ST CHICAGO IL 60629
0848894b48ad,hispanic,male,176,2,5252 W Palmer CHICAGO IL 60639
084aa08e1201,black,male,177,1,7127 N RIDGE BLVD CHICAGO IL 60645
0860c99d48f8,white,female,178,0,206 S CICERO AVE CHICAGO IL 60644
0866e287dbd9,white,male,177,1,3404 W IRVING PARK RD CHICAGO IL 60618
086f8501e52e,asian,male,177,1,1207 W 63RD ST CHICAGO IL 60636
087969a36615,white,male,176,2,5959 N BROADWAY CHICAGO IL 60660
087ded0599d2,white,female,177,1,2145 S Pulaski RD CHICAGO IL 60623
087e1a8f71e1,white,male,177,1,6035 W BELMONT AVE CHICAGO 60634
0891847c9f86,white,male,176,2,4150 W Roosevelt RD CHICAGO IL 60624
0892b1dcfcb3,white,male,177,1,160 N LOOMIS ST CHICAGO IL 60607
089a6f6d4714,white,male,176,2,4137 N ELSTON AVE CHICAGO IL 60618
08ab4b88e6f5,white,female,176,2,110 E 51ST ST CHICAGO IL 60615
08ad3f5a6cf7,white,male,176,2,1507 W FOSTER AVE CHICAGO 60640
08aeea3a3a96,white,male,176,2,6945 S STATE ST CHICAGO IL 60637
08b4b4dbca7d,black,female,175,3,3365-3369 N CLARK ST CHICAGO IL 60657
08c1614ab12b,white,female,177,1,139 S Parkside AVE CHICAGO IL 60644
08cc06e30094,white,female,177,1,4524-4526 S ASHLAND IL 60609
08cee5f4dd1c,hispanic,male,176,2,2209 W MONTROSE AVE CHICAGO IL 60618
08e08b2afa9b,hispanic,male,177,1,2458 S ST LOUIS AVE CHICAGO IL 60623
08f00ce3d36e,asian,male,177,1,838 W Marquette Rd (6700S) CHICAGO IL 60621
08f5486bc659,white,female,177,1,2536-40 N CLARK ST CHICAGO IL 60614 
08feaa7c4e7f,white,male,176,2,5401 S Wentworth AVE CHICAGO IL 60609
090d04766c06,black,female,175,3,1325 W RANDOLPH ST CHICAGO 60607
090f043d6432,white,female,177,1,2114 N HALSTED ST CHICAGO IL 60614
0910b3987f3a,white,male,177,1,51 E 51st ST CHICAGO IL 60615
0914f46f142a,white,female,177,1,1118 S KEDZIE AVE CHICAGO IL 60612
091f8e0a5ff2,white,female,175,3,734 W 111TH ST CHICAGO IL 60628
091ff71782d7,white,female,177,1,1108 W GRANVILLE AVE CHICAGO IL 60660
092041a83f26,hispanic,male,175,3,1801 S INDIANA AVE CHICAGO IL 60616
